video_id,final_views,num_country,num_country_quantile,final_views_quantile,quantile
W3WioxWD8OY,54415,2,1,0,10
Zy7yWz_C2k0,72476,3,1,0,10
aleTZZvwXiQ,58744,2,1,0,10
kggolceytAg,32036,3,1,0,10
p1mfIk7lK9M,45731,2,1,0,10
zynbtxGOL-w,60354,2,1,0,10
LRNFmgK6FmU,49105,2,1,0,10
bqcn2iy_X6E,52972,2,1,0,10
g0UYMID6480,55935,2,1,0,10
ojkXKl8FBRU,62270,3,1,0,10
p6wmnCgsVTk,56407,2,1,0,10
0Xehl4mcExw,46489,3,1,0,10
15bnJImzjmE,21712,2,1,0,10
Yim4sQmAQU8,43870,2,1,0,10
bTWRp5TK4Xo,27673,2,1,0,10
dUQZR9FeUFU,34045,3,1,0,10
rRUTkZL3fes,60655,2,1,0,10
9OOD6OogQyA,39918,3,1,0,10
b-WfWZIUOU4,65242,3,1,0,10
4DQzPE2Wu18,57940,3,1,0,10
GjD8pLHWTjs,64071,3,1,0,10
Jhqbw8apsJU,73458,2,1,0,10
dHGIF8QLRyc,54380,2,1,0,10
pVaRdVIW6FQ,59820,2,1,0,10
yyL2DPMRhqo,72799,2,1,0,10
cuu9AIKbFPg,65652,2,1,0,10
kKnN4GrNbxU,47264,2,1,0,10
pO_nrEeXXtk,63389,3,1,0,10
B9w2DJHyQNg,76416,2,1,0,10
WTiaUd5bB7Y,28521,2,1,0,10
ayUdC8usuoc,50594,2,1,0,10
7lIlkTi0X8c,74051,3,1,0,10
R5_4vXXuoDE,53544,2,1,0,10
K4CPIe5zaGg,36503,2,1,0,10
SI77OLPy3C0,32396,3,1,0,10
ch4uFQ4mWgk,74515,2,1,0,10
1eDH7tDitzo,47500,3,1,0,10
A6TSS6rZSfs,72632,3,1,0,10
IdPJrXrjmNg,67017,2,1,0,10
NpYmyGuzSLc,76011,2,1,0,10
aG0r3gqfn2Q,46042,2,1,0,10
phAh1XRzKTQ,59393,2,1,0,10
x27PTI30-cA,65982,2,1,0,10
zftDAUbVTtM,76418,3,1,0,10
-VBK7hAtJ0s,36011,2,1,0,10
lyxVC4k-HoE,74381,3,1,0,10
--2dKFTir6c,32862,3,1,0,10
FS7HwTyF8s0,43994,2,1,0,10
SNuQkRn5Nc0,34433,2,1,0,10
1kVGI_YCuNo,61433,3,1,0,10
1qk7Zzw_E8g,73785,3,1,0,10
400Jemv8mzY,43786,2,1,0,10
EbpsRlZrmQw,45310,2,1,0,10
Wcr4aJqfKcQ,56341,3,1,0,10
srS5Qqk_8DI,38415,2,1,0,10
0WeciBrCgXc,73143,2,1,0,10
1CT6sV0CzHM,77809,3,1,0,10
9AJmxr7gKQE,77618,2,1,0,10
WSGkXc0S3Dc,63361,3,1,0,10
hpwQqCwA1jU,75350,2,1,0,10
ks8lM7QT_YY,76763,3,1,0,10
qGKIXMD7KYo,74980,2,1,0,10
wY_F7Y58y44,72387,3,1,0,10
40n_NC2F8uc,68273,2,1,0,10
97QitmJYvl8,69866,2,1,0,10
AQq35k-yXIg,74114,2,1,0,10
LYgFQn3yWVE,55204,2,1,0,10
QHUW_WbMw-g,78164,2,1,0,10
ecSk72PSVM8,42490,2,1,0,10
ies_22HhgII,65649,3,1,0,10
wiY3SoZDmUI,65285,2,1,0,10
zdTGamARGdU,54336,2,1,0,10
wqwKgSUxr3U,61524,2,1,0,10
DAu2SJU1Fes,57506,2,1,0,10
huWvs9V_IZw,75217,2,1,0,10
7ZjArfbFrM4,37005,3,1,0,10
LZ98ntDbEGY,45885,2,1,0,10
Mv_JyXB6Kw8,69532,2,1,0,10
ZI61506Eb20,71107,3,1,0,10
hLH29kETGl4,39496,3,1,0,10
4vMYP5WLtLg,45411,3,1,0,10
QJDb7PsoQXU,69804,2,1,0,10
Gp--hEnudew,49059,2,1,0,10
dB78qQYBnhw,73491,3,1,0,10
J1BLTqn9Ez8,33360,2,1,0,10
