video_id,final_views,num_country,num_country_quantile,final_views_quantile,quantile
-rXMEM6pK9I,447324,12,3,2,32
0-Uob7aBmWk,261441,6,3,2,32
0L0xusEE5o4,334424,11,3,2,32
1CdZ99G4gJM,242990,7,3,2,32
2dYPABKl81A,258728,9,3,2,32
58T7gzzMs6g,266993,9,3,2,32
5veMAHMhK8E,366081,9,3,2,32
73tHSg8eQ-U,241945,6,3,2,32
8JS38BwM1q4,249143,9,3,2,32
8_5HDHy8DBo,343874,6,3,2,32
9SWx_vvf3cY,405150,9,3,2,32
AUFIE7EIkU0,214696,8,3,2,32
BLCebMkZP2o,282782,7,3,2,32
DUd5B4zXhz4,249897,6,3,2,32
DpWONJQ7kT0,325163,7,3,2,32
FEGxuJ57R_E,231772,9,3,2,32
Gd4VHqFtst8,457277,13,3,2,32
J2Q8l_Y91u8,263875,8,3,2,32
KRx2HDXqcKY,235341,6,3,2,32
M8urG5fWQck,376263,17,3,2,32
MsyIl4VNfH4,523884,15,3,2,32
NivJBXMmZlM,426071,7,3,2,32
Oj18cya_gvw,501364,7,3,2,32
P--XCJd5s5U,196832,9,3,2,32
QLf2jst9HG4,440698,6,3,2,32
Rqdvi8AO-04,307804,8,3,2,32
SLwvFkr6Rxg,318786,8,3,2,32
SpikEJYrimI,318089,10,3,2,32
T4DLN7B9mwM,256211,7,3,2,32
T6qpLHfPkyY,225502,7,3,2,32
W0CHpr-f9WU,235697,8,3,2,32
W2IvA003JmY,224855,6,3,2,32
WKpykniZQ9k,308392,10,3,2,32
XLEBz6hBI6E,303662,9,3,2,32
XhVrIauRTL4,371580,14,3,2,32
XmxqxOa9Hco,240936,7,3,2,32
YN7UzO1KLWk,330809,7,3,2,32
ZQPnLxgXBlA,388881,6,3,2,32
_WdhDZ0hVsE,391981,6,3,2,32
_g0vhAxZEJU,545133,6,3,2,32
aLc8yYkgGHY,585105,11,3,2,32
aw7z5VPFswE,383496,6,3,2,32
cNp-0VSygfQ,253882,6,3,2,32
dBr0UmpXLiM,531418,7,3,2,32
dD8mxDryYNA,420509,7,3,2,32
eH_KrlvoDZk,399153,7,3,2,32
euLTUvDQQKA,456394,6,3,2,32
hJOiMjyFNgg,467949,14,3,2,32
kG4YfErgcA8,201575,9,3,2,32
kSDGjj0_swE,208145,14,3,2,32
lBsQbFbmgoc,361431,10,3,2,32
n8xcQAxCjcY,296490,8,3,2,32
oAZU5UCqdo8,440793,7,3,2,32
qKe6HJDA4lw,302821,10,3,2,32
ss4xblefvp8,541375,9,3,2,32
tSGKv2TK3BA,313822,8,3,2,32
u-qdMfHxiO0,501632,14,3,2,32
y-szKv9tBT4,198001,16,3,2,32
9lZffCFesoc,416692,16,3,2,32
D20Agteh7U0,200069,7,3,2,32
HMpoD_GYA88,430133,8,3,2,32
UKdWgxdnr4g,352265,8,3,2,32
UrjRSI8ynxA,499266,6,3,2,32
VQo3XMpwwzA,251161,7,3,2,32
VohJa10rTf4,303584,6,3,2,32
iCcIaFDJZSs,371883,8,3,2,32
4pbi0r14VAU,241549,7,3,2,32
57emTmhwUt0,304639,9,3,2,32
8sB2j-VOS_k,241529,7,3,2,32
C_2oCyarxFs,281963,6,3,2,32
Gx5SLL413FE,485890,11,3,2,32
IPwxV72snqM,397246,14,3,2,32
RrjS9PdmDzY,465933,6,3,2,32
SstwX85NNxs,391512,12,3,2,32
U25FR9EUJm4,396363,12,3,2,32
UXtI4pr0fvk,262126,8,3,2,32
UsuAKtwXB9s,592827,8,3,2,32
_dGLkVjjc8Q,262582,6,3,2,32
ay75vYX_89A,489237,8,3,2,32
b-_T8Sw8-h4,207232,8,3,2,32
dQCZmw8UwyM,277819,11,3,2,32
iFila_AY_Sc,523663,14,3,2,32
kGjOO5NliNI,257062,7,3,2,32
rzJEo5-KY9k,209719,6,3,2,32
wEb0ZT4JXYs,420220,13,3,2,32
2CkRkZV5ysg,244633,7,3,2,32
6HN34GdEG_w,301071,6,3,2,32
6wWVDW9aN9Y,287554,15,3,2,32
UXy3TH_7cxc,406272,7,3,2,32
ZgutoA16cgg,516038,6,3,2,32
ZzE2d-RTtS4,223852,8,3,2,32
deGrZagPr_8,461295,13,3,2,32
etbhO6kQzqg,489678,6,3,2,32
f4_5u2nIowQ,200159,6,3,2,32
fdTKG5sw4gs,378487,7,3,2,32
k_Tvy6hRtWw,239534,7,3,2,32
