video_id,final_views,num_country,num_country_quantile,final_views_quantile,quantile
74jq0moR6LM,167828,7,3,1,31
A4l2GaVB6sI,168711,10,3,1,31
A77xjL_zkOM,107419,7,3,1,31
A_IDbwhFiMY,86716,7,3,1,31
CeL5jKrcgUo,137319,7,3,1,31
GEqHZW_k7jQ,116494,6,3,1,31
Ia3xHEY18Fw,163804,12,3,1,31
O9eGlojJhLI,159609,6,3,1,31
OUSSvAmWrhY,82993,7,3,1,31
PvDt3j1OS9I,98963,6,3,1,31
QCjy39vW0gE,134784,6,3,1,31
R0K45g4yvZM,129211,12,3,1,31
SVP8BR__GZo,123711,7,3,1,31
VTxJ5v3CzWE,148539,8,3,1,31
WYHxLA39Ulo,160814,6,3,1,31
YC1jqYyzL80,123419,7,3,1,31
cx1h_p7V9R0,99799,8,3,1,31
davRevH_YU4,144776,6,3,1,31
eyliPfXpWKQ,144945,6,3,1,31
fsQj5O4BHE4,122897,6,3,1,31
j4dgP_wbUIs,78958,7,3,1,31
lLICiDnfZlw,102275,11,3,1,31
paaJTh1VST4,158825,6,3,1,31
v53kMKN3FcE,155096,6,3,1,31
wEdxlcFSHYI,139119,6,3,1,31
x35CVosd7NQ,189530,10,3,1,31
xgQf6Mm8ctM,158115,6,3,1,31
zxOGQRlWp_U,188704,7,3,1,31
DpSZj4qImNE,185595,6,3,1,31
RC9Drg8eG7k,166913,9,3,1,31
XqxzgzCtiKc,149595,7,3,1,31
-tgUO5gVc30,78812,6,3,1,31
4dxpsQ1O-a0,136761,15,3,1,31
p545cSg5-Dg,138783,6,3,1,31
t_Naq90J2U4,146851,9,3,1,31
wuhvMe90ulk,145842,6,3,1,31
KBWJvNkM1bs,160597,15,3,1,31
X5YyjeGXo5g,195576,16,3,1,31
mCRdwUTlkEo,85272,7,3,1,31
pYV4O2qg__w,191707,9,3,1,31
x-DA9MGDQX8,80724,6,3,1,31
C4i0lmlEOjQ,188779,6,3,1,31
VBkw5SKSMVQ,123638,9,3,1,31
Xi0x9U7dXJk,104700,7,3,1,31
fUmRg75PWlM,99413,7,3,1,31
va-JAIFWDhs,110673,7,3,1,31
2cnLzT9oHyo,134954,6,3,1,31
N_VJ4KFWl6k,180784,11,3,1,31
UPOuORLsCxM,155695,8,3,1,31
maP_uj0XOWo,86540,11,3,1,31
owKyhEl3cyQ,79279,11,3,1,31
s5WSQsNI5FA,146188,13,3,1,31
4RtwvGY_UBw,88044,6,3,1,31
8PS4cWR7hak,111017,6,3,1,31
AICm2GIR4qQ,146996,9,3,1,31
GgjSJZ0YZG0,112092,9,3,1,31
Z4zfmaHHiKI,177567,6,3,1,31
di-IOp46-Bo,185530,6,3,1,31
jiN3KPVv2JU,124251,6,3,1,31
muaIAYD9zqA,154167,9,3,1,31
nGnCXmhfKpQ,191190,12,3,1,31
pDG9jwzb_dU,88584,7,3,1,31
rVM-1YqW1VU,81226,10,3,1,31
7WoxV2ayDcA,163736,6,3,1,31
D1QUSaz9ehY,79413,6,3,1,31
HxQPjYOrHnU,155665,7,3,1,31
MfKRjd5tQMA,120511,9,3,1,31
NVe1IiHAQ-Y,186345,11,3,1,31
S_17diffIRk,131439,8,3,1,31
UECVZDihKww,147945,11,3,1,31
ogULFC4fvhg,120328,9,3,1,31
pNGqZBWUt7w,95991,11,3,1,31
6k0bmwNg4Fw,142221,7,3,1,31
9njLaCyNdFA,152369,6,3,1,31
Ex8kAOp10QE,147149,9,3,1,31
dZT4fBH_6cs,146249,12,3,1,31
-FUmpRJGRs4,98766,7,3,1,31
5FaCfD-rJRY,184568,7,3,1,31
EGLbvleFhb4,86556,6,3,1,31
WxoWAiAGoaA,168054,11,3,1,31
xEo3euHDUm4,95497,8,3,1,31
y_-OWIcEyFs,108638,8,3,1,31
I0Sj8-Kcm5Y,79183,8,3,1,31
VIqgGjH2zKw,87488,8,3,1,31
erYUN9yUOyk,151087,10,3,1,31
hpmgq_S9Rvg,178637,11,3,1,31
rHIER2v_dR0,80270,7,3,1,31
sw3nK1Wf-SY,184127,8,3,1,31
xU8hWBwSe-Y,138720,6,3,1,31
VUU2bq7UEUw,101463,7,3,1,31
axJU8K5ZOlw,191263,11,3,1,31
uSTMfD33AK0,135382,7,3,1,31
HcA0t28FDOM,92576,8,3,1,31
KhUTWgbJJqE,102181,6,3,1,31
dSDTBMel0MU,160260,6,3,1,31
dbgIW1C5TT4,94918,6,3,1,31
iBnhHrbmYiw,152962,10,3,1,31
vL-3PR8Ecmg,188214,6,3,1,31
-igv7hTO98U,194545,6,3,1,31
Xmt_RFGo4Ao,181283,8,3,1,31
XpvgDr8HrbY,79345,8,3,1,31
qrZ2WIA6l3g,155256,15,3,1,31
tIuI9SroDr0,124905,7,3,1,31
tQ551yLVtz0,173216,6,3,1,31
7X_6v1EHTWA,153131,9,3,1,31
QgjKPfObEvA,147184,7,3,1,31
Rs8O0baxDuI,177040,7,3,1,31
gkE4ZDT9qE0,96945,8,3,1,31
gOEp8t9y_J8,158354,9,3,1,31
ouKbTl6lUMM,94289,6,3,1,31
Dvlh_vmsljs,162214,9,3,1,31
cAfvP387lNM,158847,9,3,1,31
cN0tSZThtEI,94737,8,3,1,31
i8RKB517d2Q,195240,11,3,1,31
BuCXTG1Hpf8,191909,12,3,1,31
EiRO4v5kM9w,140203,7,3,1,31
G-yK1RGVt5w,125508,9,3,1,31
GvPMCUIBPtk,144021,6,3,1,31
UMBrxCsoTM8,161302,9,3,1,31
dXcgLJfAWY0,117271,6,3,1,31
jPeHjYLlcz0,182777,8,3,1,31
lE2Gy0m7_F8,168835,7,3,1,31
lFlymQtFWNQ,145848,16,3,1,31
pPUg-AgE3II,178121,7,3,1,31
tlQkJkDVj6A,85969,10,3,1,31
wTL2AmV801U,195663,18,3,1,31
yFoAzQILqi0,119578,6,3,1,31
1MMLn39KpEM,187937,7,3,1,31
HVyxKT-W5_Y,189457,7,3,1,31
IYytkUsTr0A,192955,7,3,1,31
WMKGxL-EPw0,100097,10,3,1,31
w1B66Z0wzA0,142423,6,3,1,31
0TsDVRLWROY,110551,7,3,1,31
1Q2zZISBeMA,120999,11,3,1,31
Bl2UZGmxAoU,150574,8,3,1,31
GvyhwtbkzaE,138874,7,3,1,31
fGmmE-B-dCo,161145,7,3,1,31
rBQZcbDAZ4s,107071,9,3,1,31
jNv0iYlSpYA,128157,10,3,1,31
JtkamdeFtkY,140113,11,3,1,31
QOI1pg2HR4U,89211,8,3,1,31
gOrOJpfJ8mE,134933,6,3,1,31
wLmFXNyUELY,126923,13,3,1,31
yGnwR2NSmcw,168541,7,3,1,31
AdmoRpex3nA,78452,8,3,1,31
GEPi7uqzUm0,173833,8,3,1,31
_LqjZ8cZ0LA,111079,6,3,1,31
pmGoU7QrHmw,170695,7,3,1,31
s7-hgRzYprw,148278,9,3,1,31
2sQkid2BHjg,104222,9,3,1,31
FVePvDOv-V0,95758,8,3,1,31
InwvhhC7DlE,108496,10,3,1,31
S6c4NGhi_VM,90670,7,3,1,31
_Rq-6S6qB-A,113658,8,3,1,31
bXltzjLv0-M,141650,7,3,1,31
kjM14Hj4Vow,187567,7,3,1,31
2dsg6GmiPpw,183230,10,3,1,31
5RPjzanHWd8,138209,8,3,1,31
6pbn5KxwsMM,155884,7,3,1,31
IK87ZCdLgJo,143467,7,3,1,31
MJUr_w-OhZ4,179091,6,3,1,31
dat3tSbiMpk,88139,8,3,1,31
eWpocuARDT8,185117,6,3,1,31
jPH73SIHmE8,151120,7,3,1,31
judxXlBPcJc,79412,9,3,1,31
tbBK-aw2guM,98478,7,3,1,31
vHamR-lE-Ws,138188,6,3,1,31
vvV8ls5AJ6o,127151,6,3,1,31
x-UbXkg4I-8,180634,6,3,1,31
52cabAb_xxs,111634,8,3,1,31
EiN7u2ebq2c,137112,13,3,1,31
F2fJCn6zolg,111540,8,3,1,31
HMAt_FWrMIo,192602,23,3,1,31
KdrRV8y7DXk,144387,9,3,1,31
OTdRyMLNqo4,175450,12,3,1,31
efuppK6V7FE,190339,16,3,1,31
rFnWRm5UZu8,162767,12,3,1,31
uJyXcPDGJpQ,136981,16,3,1,31
wwMxhVgn7Rk,83562,6,3,1,31
7ZKcpdlEwOg,174672,7,3,1,31
FZtasEJs8Dw,145264,8,3,1,31
G0ZFLU63Jb8,83697,6,3,1,31
VF9dasNlw2k,149829,8,3,1,31
XxrATTJCedg,155106,9,3,1,31
gQQWU09QfqM,128784,8,3,1,31
jkkjSW2v01E,170320,6,3,1,31
K5-xEPgnGiU,140339,11,3,1,31
SA_qzw36yLw,184971,7,3,1,31
c5vjNp1BFtk,182382,11,3,1,31
fSseVvETIvk,105496,6,3,1,31
v4vmD03pVEQ,108200,6,3,1,31
4__Is3F8H4k,95985,8,3,1,31
8YL0rzghV0I,147682,7,3,1,31
9J9dy7kYxxc,114183,8,3,1,31
HENcwAo6ZQQ,84094,9,3,1,31
iF7YdkogwiQ,164670,6,3,1,31
nnGeS201-AA,131615,15,3,1,31
2bHAgaaCxFE,93519,13,3,1,31
4elhi-M3Za0,161119,14,3,1,31
5e9qgtfDXdo,91521,6,3,1,31
cK562zRvohc,120660,11,3,1,31
2r7FKfrUGVU,118582,7,3,1,31
6nocFXvhYm8,183858,11,3,1,31
HYKWTq0W7lA,128249,8,3,1,31
hXBeE_vzuYE,80278,6,3,1,31
iLGsncdsyJw,104871,10,3,1,31
jVq0cjXPQF8,179544,14,3,1,31
tq0mSIkYC5Y,144674,6,3,1,31
u3XTDRZRkIs,80314,9,3,1,31
uIYCPVeydyg,129997,11,3,1,31
xNnud2IenGk,182845,8,3,1,31
yGVrZ8HD7Pg,180858,6,3,1,31
1-mxwMoxRJs,144403,6,3,1,31
4uYk4gQNf1Q,156138,6,3,1,31
EoI-tEqgOYI,195178,7,3,1,31
Z--s_yuZjCQ,158332,10,3,1,31
bJtBEWgx7oE,168004,6,3,1,31
gsJPFjaICfY,83296,8,3,1,31
iqON2dJwqhE,184157,11,3,1,31
5IWa3Lc6Sxk,180472,8,3,1,31
EmiCu_1IeB0,174364,8,3,1,31
GMRCzZnW338,106742,8,3,1,31
KBTVYDs358E,183873,6,3,1,31
WOgn7HFU7V0,89827,6,3,1,31
XBozoQuTK-k,87415,8,3,1,31
ZwDxXYKM3qY,80825,8,3,1,31
agYbYIlemJE,138445,7,3,1,31
ekkKWihnVfY,185820,11,3,1,31
nRJulyd7pxw,100844,9,3,1,31
3Bxj9Ek9BXQ,104079,10,3,1,31
llY-orZGjQA,127598,7,3,1,31
lqsOb03jjlI,141308,6,3,1,31
208bbCqTSHE,126736,20,3,1,31
VmzMjQd1AiU,153944,9,3,1,31
yaEUQ_kzrpU,166724,8,3,1,31
2evinAiKCLw,79316,8,3,1,31
