video_id,final_views,num_country,num_country_quantile,final_views_quantile,quantile
52P0XMt84kc,243323,5,2,2,22
6XABreK4YoU,232560,4,2,2,22
8Fcxc9Ahr1c,214027,4,2,2,22
BW38guk_fQQ,268385,4,2,2,22
E7IpZuuscsI,244375,5,2,2,22
GLptZAsXuOY,521728,4,2,2,22
GP0gycLxwqo,374552,4,2,2,22
ISlsmKFd9FU,250374,4,2,2,22
LkgETuXlnoI,197695,4,2,2,22
PeUGnPygsqI,409383,5,2,2,22
RDCREwJlCuc,453442,4,2,2,22
RzfMeE1MeRk,577141,5,2,2,22
SXVxst16a20,508648,4,2,2,22
UNXuDg1a_fE,326931,4,2,2,22
UTAlxIUHE3I,373355,4,2,2,22
X9UVo-9wxjE,283594,4,2,2,22
bps9TW-yYQg,589710,4,2,2,22
dFfjrQubW7U,545926,5,2,2,22
gM-kWdLGt2Q,520916,4,2,2,22
jG3vysMqt9Q,246284,4,2,2,22
lktA_1Qn-WA,498966,4,2,2,22
lxs0XoFFKXs,550797,5,2,2,22
pXfJTNjo4n0,394799,4,2,2,22
sCWj4DXKtuc,231798,5,2,2,22
snwD7GhIf-8,345538,4,2,2,22
tTK6Qd-R3a0,254094,4,2,2,22
yEtbdqiKNPs,551596,5,2,2,22
6wJO4hMrLgQ,305189,4,2,2,22
Az_Ry3cykWc,383630,5,2,2,22
FjuJvaubHWs,258344,4,2,2,22
Ku-oNvmAmqs,249847,4,2,2,22
LK1fFZsKK54,534843,5,2,2,22
QUcHBDoEDTM,254043,4,2,2,22
Tdd3C7T8VWE,301366,4,2,2,22
izNRa7dvwjI,367932,5,2,2,22
sIXWAmHs5Zc,250908,5,2,2,22
tXslcnIDIak,381347,5,2,2,22
KbHxO9qjj6A,443072,4,2,2,22
ZRQvcNfEcqY,522754,4,2,2,22
i0nECwt-Fp8,513890,5,2,2,22
ofS2qO3X_GI,369580,5,2,2,22
vouM338ajtQ,298340,4,2,2,22
EFTxTgRW7bw,467997,4,2,2,22
Es8Mj3egRrY,269498,5,2,2,22
Rbx-PgCBTeQ,342436,4,2,2,22
wO98o_SXDjg,551588,5,2,2,22
3XFqTjoF3jE,322696,4,2,2,22
6Cw9UCEYrZM,216879,5,2,2,22
GQUMc9DQMrc,386445,4,2,2,22
IXA331We01A,495765,4,2,2,22
P126qc8kVzo,345765,4,2,2,22
l-UIW-s6Ec0,210912,4,2,2,22
N_SZQZ7-U0w,322297,4,2,2,22
VoNXbfJJrGU,322515,5,2,2,22
apvAaOaug28,418036,5,2,2,22
p71JRxt7Fg8,282999,4,2,2,22
-VkZ4vU29MM,298859,5,2,2,22
0ae3WkoHccw,369686,4,2,2,22
5jZLyEg45BE,416610,5,2,2,22
OcZo_22OE68,510638,4,2,2,22
PU5YiC549pY,393227,4,2,2,22
RzL_V-BCpkA,591891,5,2,2,22
owgTyGeMosk,579064,5,2,2,22
yV_nX9ngoY8,461023,4,2,2,22
-4yOwY7LA6o,211847,4,2,2,22
HpnbfIro0W8,511970,5,2,2,22
QUtcbw2AtIU,245991,5,2,2,22
WKXLJ4GOufA,555182,4,2,2,22
XswQ4UkCs38,376732,4,2,2,22
lDV6UZL8DfQ,552464,4,2,2,22
l_Oq0E1I4j0,397115,4,2,2,22
lpLvD4gOywc,225595,4,2,2,22
0myrTEcyULQ,299096,4,2,2,22
3HVMtno8Ju0,555019,5,2,2,22
gsKCOe15zu4,203122,5,2,2,22
1QC45axd0sc,453164,4,2,2,22
KfyBjcAHUGs,388967,5,2,2,22
_TDN9F7KAnY,279025,4,2,2,22
bTCdCksNLR4,499743,4,2,2,22
oWD4l11smb0,435452,4,2,2,22
-gV8t5h13O8,280648,5,2,2,22
2I8MYmYByx8,211802,4,2,2,22
4tN9p_EIc0M,515144,5,2,2,22
9G3OLRCjhGw,339507,4,2,2,22
Cf_W1KnGkj4,523105,5,2,2,22
QgulwoDbdrw,550958,4,2,2,22
vaWmoDYEJjc,385222,4,2,2,22
IZa4PFz4dPQ,529227,4,2,2,22
TH6lBk3kNbA,403557,4,2,2,22
AZqxi0V0J40,457136,4,2,2,22
Bmk2D4V2W0w,335966,4,2,2,22
QdeG38eE1Gk,252007,4,2,2,22
FcaWC1obSMs,408574,4,2,2,22
GzC-kebYeeI,417809,4,2,2,22
NdJhnv0Wrbw,360864,4,2,2,22
u9iIZIzngCI,327894,4,2,2,22
5aPc9vnOu8E,497716,4,2,2,22
68vjLzWLE4A,284216,5,2,2,22
9R02cUpP2P8,230303,5,2,2,22
JLUakKII5X8,365611,4,2,2,22
KA_iT1BnDx8,483378,5,2,2,22
MZiUS9W0ONc,419333,5,2,2,22
QOpQnVbouU0,256371,5,2,2,22
QgQzYInD7vs,530911,4,2,2,22
Ua9qNIGr_Mc,361187,4,2,2,22
_IZ3T4A1jSA,328918,5,2,2,22
aS1i7_TPp4M,234408,4,2,2,22
dKB5qA0BkNk,207491,5,2,2,22
gY5uHYe87f4,536102,4,2,2,22
i4STpcK5DdU,224671,5,2,2,22
lS65LZHr9A0,469175,4,2,2,22
lXafzRjBgYo,313213,5,2,2,22
pX4mEbUNUpU,414456,5,2,2,22
trxcQElbXxA,281631,5,2,2,22
ypDvOTeZy08,481906,4,2,2,22
1HpcXHbcwQY,284174,4,2,2,22
46LFbnXSjT8,210864,4,2,2,22
9iuxQm3uNrw,331664,5,2,2,22
D0wyScOtK_8,457524,4,2,2,22
EXGTQNiQm8U,497297,4,2,2,22
IHJzoYd-wAA,571109,4,2,2,22
IhEyGfuSlAs,275026,4,2,2,22
JtCsUAtTL48,381759,4,2,2,22
QKIz1a8P5f0,216991,4,2,2,22
dRwOxcmYR2c,238564,4,2,2,22
jW4UBbwpbvA,211459,4,2,2,22
uPwg7FNiB1Q,592431,4,2,2,22
A7-S3uqduLM,251499,5,2,2,22
CQk2hW-oudw,219164,5,2,2,22
TsXpfHVtmRo,458858,4,2,2,22
WZfAhlbRklQ,214334,5,2,2,22
dqTl8fFKowc,292412,5,2,2,22
61blWndee1Q,226240,4,2,2,22
FuYGq_zUI10,523897,4,2,2,22
_GextnhkZ-M,484065,4,2,2,22
Ft08jzPjK3I,300780,5,2,2,22
sP4z-DlT1_0,332269,4,2,2,22
