video_id,final_views,num_country,num_country_quantile,final_views_quantile,quantile
4DM4QzLygdQ,93968,2,1,1,11
5fimZw0_jJ0,116226,3,1,1,11
CLwahD_XxM4,155836,2,1,1,11
D5tldHJkJmo,86197,2,1,1,11
EjGW8j7PKv0,107145,2,1,1,11
G1u-y7zExNA,157814,2,1,1,11
GuzDiVH8PY4,188014,2,1,1,11
IraNbD0FbJ8,113792,3,1,1,11
LU9QPhN7wwQ,161880,2,1,1,11
NEAfRb6Yf38,104922,3,1,1,11
NEgJ8K_vitY,182494,3,1,1,11
NS45_7jdpTE,181311,3,1,1,11
O6o15zGf8gU,123389,2,1,1,11
Oxk9SnCGkUQ,85053,2,1,1,11
PWky6iEx05s,151787,3,1,1,11
SXL0jMrUdos,186675,3,1,1,11
THLp7Bos_98,112719,2,1,1,11
U9mrYYJ5ImI,124758,3,1,1,11
WpsBnXn3RUM,171446,2,1,1,11
e5CiE6vE1aM,178905,2,1,1,11
fGNGrXvww94,192060,2,1,1,11
g82Y80iSpgs,167344,2,1,1,11
h2DgVlzZpO0,85750,3,1,1,11
hosREBDUqGY,133065,3,1,1,11
l7E7XyCek1U,173285,3,1,1,11
s-pQC3RvCd4,100758,2,1,1,11
zIJqVbbDTPs,113873,3,1,1,11
5cTisysQe7g,134229,2,1,1,11
7Hojr8MVnYw,144481,2,1,1,11
KHz3U9qJbCc,80438,2,1,1,11
OhjXgvu9nZE,99383,2,1,1,11
Xv8l-b_jd5w,182465,2,1,1,11
YxKZElJaW3c,170237,2,1,1,11
avBp5_lpSfc,138961,2,1,1,11
dfPy55WwJbU,185374,2,1,1,11
f7UvligKPCE,179488,2,1,1,11
fsPJ6XjY0t4,136820,2,1,1,11
gaIlxkFu3Uc,148968,3,1,1,11
i159XGDf0sI,114080,2,1,1,11
j1sbh5muo-g,180005,2,1,1,11
k_lJ6rmntkY,156138,2,1,1,11
m4sDb2JXD4s,179768,2,1,1,11
qRusVGDMZQU,133373,2,1,1,11
rUIFaOEgE6I,87416,2,1,1,11
xTJvdEUysDQ,167510,2,1,1,11
xtSzLgIg-BU,136296,3,1,1,11
5O4aAwvlXt8,158580,2,1,1,11
6LOnxlRoOPU,156944,3,1,1,11
8_JRH4Kiovw,98794,2,1,1,11
N2fuqh8uDCY,95684,2,1,1,11
RljXmlBAm2I,164181,3,1,1,11
WlGhXZjFmeo,126279,2,1,1,11
dKTs-ZfY6kI,191952,2,1,1,11
fZc7UGPmk8E,132882,3,1,1,11
gi116YmTwAU,90160,2,1,1,11
x2U1GBlTpGc,192358,2,1,1,11
4VwAWay6UF8,119897,2,1,1,11
6e26Ku23gFw,178734,3,1,1,11
9PKtwdyesVU,177441,2,1,1,11
F1cixWE8b4g,172849,2,1,1,11
T3VyEKb_A2Y,162740,2,1,1,11
fP-EHI4M97s,170394,2,1,1,11
oL_KnHs4dP4,136059,2,1,1,11
q9IqkEATPIs,138367,3,1,1,11
wyNwbYl1fQk,189994,2,1,1,11
-jco0KlSazY,189941,2,1,1,11
92hH0hbf6ug,113852,2,1,1,11
Eeeap4tvaS8,140522,2,1,1,11
HYz8CXmLUoc,136976,2,1,1,11
QinO09YO02s,169235,3,1,1,11
RtuNL8jS70c,158073,2,1,1,11
VFNL9-_sTvo,82218,2,1,1,11
Yu7WEqm1mlw,82863,2,1,1,11
gUGCqxaXsoU,144798,2,1,1,11
nrM8sebjczM,137339,2,1,1,11
pFzi27waIOI,143496,3,1,1,11
rWXh_DnH83E,124978,2,1,1,11
vzljWxz_B3Y,170703,2,1,1,11
z-SEsnN3fA0,159756,2,1,1,11
zB1midY6q3M,151921,2,1,1,11
1zM0DAVTxNk,115618,2,1,1,11
7CwbRJyEaLw,174818,2,1,1,11
A-h_wbCoPAs,145974,2,1,1,11
B64WNZrQ1X8,181229,2,1,1,11
IAVc6ndcZYY,149202,2,1,1,11
7nLq2Ds46GI,161810,3,1,1,11
8liGBFyn-YE,134816,2,1,1,11
9QdkV6-iHsU,88376,3,1,1,11
axuqEknSDXY,183886,2,1,1,11
cy9YMtMzX5k,96886,2,1,1,11
xEHPpn092ac,147844,2,1,1,11
2qA_75tziCA,182455,2,1,1,11
FAzIzkQZG_g,180379,2,1,1,11
KUC-Lo2h1Xo,137616,2,1,1,11
NAhMRF_UPb4,187295,2,1,1,11
OeNDoWkY77w,187147,2,1,1,11
UNTpXgxTJJk,122123,2,1,1,11
Uf9f3T0G3kE,84348,3,1,1,11
Y6ca5Gr9l-A,154779,2,1,1,11
_2U_82B2hQA,97381,3,1,1,11
bG9YkEQ_mhE,175454,2,1,1,11
bOYiM-mBXnI,95852,3,1,1,11
dREwM10EgDg,159545,2,1,1,11
gXAmJAKszzM,102716,3,1,1,11
qZSFbdhQTdk,99571,2,1,1,11
xl6nMEMwIS4,78392,2,1,1,11
ztuVuiQ0_dw,149205,2,1,1,11
JQjweS1-Jrs,88086,2,1,1,11
Vys5FvxsD0s,192059,3,1,1,11
bbuxIkGT0QM,123051,3,1,1,11
boew7gSl-Sc,91788,2,1,1,11
dcP5z0iWpwE,95648,2,1,1,11
exbeRHbloNE,147484,2,1,1,11
g2wZHeX6VQQ,172198,2,1,1,11
gPkiFNkvTEc,119401,2,1,1,11
iM342XolnEc,165033,3,1,1,11
m-cE9ckjSPk,183915,2,1,1,11
mN7WajCtJ10,177832,2,1,1,11
ugqVV5Ddgvc,128066,2,1,1,11
IcAlxKMkpCw,82710,2,1,1,11
TDv5IktB33g,161828,2,1,1,11
VBDw1CXeeR8,137833,3,1,1,11
lsM6zrO3Z0M,189329,3,1,1,11
xb37gIIdlHE,84572,2,1,1,11
3Tgyt7Wru54,91910,3,1,1,11
LntGwbYAzBY,158451,3,1,1,11
TwzoyREpYn4,123275,2,1,1,11
UpVv8LSzJ6w,132637,2,1,1,11
Yua04gM0FHI,111748,3,1,1,11
9l6JiWpirBc,168588,2,1,1,11
HDlQJvoC3wY,159094,2,1,1,11
NrWlYAsmFfQ,162859,2,1,1,11
POrV00iNquY,149018,3,1,1,11
XPg2CDvM3BY,150852,2,1,1,11
Y3kkFjGvsQw,187612,2,1,1,11
qTU8dTh0hwg,161936,2,1,1,11
9ApQN_SnZCk,109374,2,1,1,11
D6EbmRxr9lw,133480,2,1,1,11
Kjpcsn8Ys8Q,162631,2,1,1,11
RhE0kR_WGBM,163107,2,1,1,11
S2GFGrnFnu8,125292,2,1,1,11
c6pbAl5p2cI,117220,2,1,1,11
fpMq0XHcNxs,110440,3,1,1,11
iKElhBlrMW0,177785,2,1,1,11
xB8aDjxVM6s,127931,2,1,1,11
xT-AZ5vkuUI,98712,3,1,1,11
0uvM7PfH67U,126286,3,1,1,11
58LbZjytrLM,146123,2,1,1,11
9Ri-41ElM0c,104535,3,1,1,11
DJ-nUAcNPZg,126965,2,1,1,11
E1nGT4n2kP4,137134,2,1,1,11
IRh6hkfslT8,138190,2,1,1,11
PqkIkOMUD7c,176098,2,1,1,11
RkhN6AIt4SU,144897,2,1,1,11
V4BNnQzfWao,175114,3,1,1,11
XJ1fKGbQb2I,171941,2,1,1,11
d28aITVXdxs,127567,2,1,1,11
hwMBlO8JRCQ,161061,2,1,1,11
0NCNt4e59Z8,154682,2,1,1,11
1SQUefLwSaQ,128647,2,1,1,11
2MjUkZPyMyU,92952,2,1,1,11
3-nTD831gPE,175167,2,1,1,11
85U4EDItYBc,126441,3,1,1,11
CEej1EXJYyY,184475,2,1,1,11
HDiXedLBT3c,188537,2,1,1,11
P8Jzt-E_xnU,152516,2,1,1,11
Pb9ToFRIe40,120535,2,1,1,11
SRJYAZaITcY,111093,2,1,1,11
Tezn0TkNdQ8,184933,2,1,1,11
cy9TxWzOyFw,84128,2,1,1,11
gYxaXBIzjj4,137104,2,1,1,11
hIQzqds9iY4,162721,2,1,1,11
lpc_3DzvtYs,135491,2,1,1,11
B9smslsLlcg,176792,2,1,1,11
HUDNNb4hdLk,175551,3,1,1,11
LcXdu-bGTYQ,94861,2,1,1,11
NCLTOKHdEsY,80202,2,1,1,11
lAhnMFzLfSE,161188,3,1,1,11
rpupf9ui3-o,151499,2,1,1,11
xxv9z4UDV08,80748,2,1,1,11
-0dBe9507VI,165367,3,1,1,11
-wymVZezJu0,176870,2,1,1,11
2AZHKtPapgE,110145,3,1,1,11
CIHvFXHC67U,107700,2,1,1,11
Dv98bA0ipAA,162745,2,1,1,11
Eun4hHXXQyA,163854,2,1,1,11
IynSewScEwk,174690,2,1,1,11
OoUsiBnOpsM,92808,2,1,1,11
UC0EAFtZfXE,162909,3,1,1,11
VMXX4ooV6wc,193068,2,1,1,11
YITZNZ6VrgU,99853,3,1,1,11
bW8alHC7j_w,100455,3,1,1,11
dtwQixldi24,107056,3,1,1,11
pupVBDrAdzY,152084,3,1,1,11
z5-5OCUEby0,109055,3,1,1,11
I8W_52O5Fa8,157574,2,1,1,11
M3eMqMeH3Jk,140969,2,1,1,11
MqqggT5Z8iQ,87297,2,1,1,11
W9rQNA3TKHs,178820,2,1,1,11
XKekAHfHFtU,176964,2,1,1,11
Y4PBstclxsY,186143,2,1,1,11
bRqKm6VzBqI,190349,2,1,1,11
e7KAWi7o5iU,97037,2,1,1,11
eTEGkrdd048,123619,2,1,1,11
g1Szj1nUlj0,98630,2,1,1,11
hmbTv8NlDrw,148502,2,1,1,11
m8qr3zccpU0,106356,2,1,1,11
JJotPlNLbIk,120804,3,1,1,11
09AWg6IzgXk,174383,3,1,1,11
1mcOPuesSls,144127,3,1,1,11
2sZH9K2R1nc,182916,2,1,1,11
39TqoJnTvuw,172204,2,1,1,11
4XcH5ZXKsqM,186719,2,1,1,11
4ZF1k1uC_6M,154506,2,1,1,11
7mKX5KFt7ys,107477,2,1,1,11
8eD8ekKqYDI,156404,2,1,1,11
ApfclPS86Xk,108337,2,1,1,11
DuT7iOI7ZZk,105159,3,1,1,11
EK7dctGysv8,167091,2,1,1,11
INkBDyWdb5Q,176818,2,1,1,11
JNSGmDI5t84,126241,2,1,1,11
JtOoY515sYk,177952,3,1,1,11
KS3bTsp_k94,175313,2,1,1,11
OufZdTMt27M,140976,2,1,1,11
PZSc1C0ivi8,145705,2,1,1,11
RMz2wX5wa3w,81380,3,1,1,11
TU9e3-eFJls,137994,2,1,1,11
WYzdisyHROo,91432,2,1,1,11
at3UW-aNF1A,134976,2,1,1,11
cS5SPvwyq-A,121204,2,1,1,11
d9nIeVHcLfM,117937,3,1,1,11
exobRR53-ZY,115042,2,1,1,11
f36_qrJQA8U,90975,2,1,1,11
